IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,DIM_PUBLISH_STATE_CODE
AC597B1,Maternal mortality ratio,MDG_0000000026,4,Afghanistan,1985,YEAR,RATE_PER_100000,1910.34153,1033.90499,3041.56956,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,953,Africa,1985,YEAR,RATE_PER_100000,1007.13905,890.84124,1145.19652,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,24,Angola,1985,YEAR,RATE_PER_100000,1097.97469,712.85039,1659.51137,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,8,Albania,1985,YEAR,RATE_PER_100000,47.69869,34.38043,67.37538,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,954,Americas,1985,YEAR,RATE_PER_100000,147.75657,124.00141,184.91105,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,784,United Arab Emirates,1985,YEAR,RATE_PER_100000,21.61599,13.38767,35.36708,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,32,Argentina,1985,YEAR,RATE_PER_100000,97.926,78.63519,124.34943,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,51,Armenia,1985,YEAR,RATE_PER_100000,54.02798,44.68867,67.0824,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,28,Antigua and Barbuda,1985,YEAR,RATE_PER_100000,58.98636,38.55793,87.44696,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,36,Australia,1985,YEAR,RATE_PER_100000,8.01634,6.05347,9.9361,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,40,Austria,1985,YEAR,RATE_PER_100000,10.53755,8.05226,13.81966,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,31,Azerbaijan,1985,YEAR,RATE_PER_100000,52.83691,43.37034,68.78928,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,108,Burundi,1985,YEAR,RATE_PER_100000,1343.28428,911.13991,1927.50888,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,56,Belgium,1985,YEAR,RATE_PER_100000,8.51023,6.42015,10.37322,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,204,Benin,1985,YEAR,RATE_PER_100000,718.65415,496.32112,958.19431,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,854,Burkina Faso,1985,YEAR,RATE_PER_100000,795.29521,572.94485,1154.36481,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,50,Bangladesh,1985,YEAR,RATE_PER_100000,907.46551,609.74637,1286.49557,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,100,Bulgaria,1985,YEAR,RATE_PER_100000,25.43253,19.89352,32.35557,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,48,Bahrain,1985,YEAR,RATE_PER_100000,36.97682,25.86724,49.44718,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,44,Bahamas,1985,YEAR,RATE_PER_100000,55.60274,36.59992,78.06581,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,70,Bosnia and Herzegovina,1985,YEAR,RATE_PER_100000,47.43705,37.13266,61.88322,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,112,Belarus,1985,YEAR,RATE_PER_100000,42.32455,31.52582,57.17514,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,84,Belize,1985,YEAR,RATE_PER_100000,113.77677,71.48415,181.84529,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,68,Bolivia (Plurinational State of),1985,YEAR,RATE_PER_100000,586.50881,444.61124,755.11236,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,76,Brazil,1985,YEAR,RATE_PER_100000,227.02599,139.3097,371.45311,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,52,Barbados,1985,YEAR,RATE_PER_100000,52.67266,38.61106,73.97681,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,96,Brunei Darussalam,1985,YEAR,RATE_PER_100000,58.38528,38.49588,84.98342,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,64,Bhutan,1985,YEAR,RATE_PER_100000,835.073,590.16018,1188.78251,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,72,Botswana,1985,YEAR,RATE_PER_100000,228.81677,127.89461,405.38106,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,140,Central African Republic,1985,YEAR,RATE_PER_100000,1003.12103,716.15176,1399.77557,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,124,Canada,1985,YEAR,RATE_PER_100000,6.95493,5.59197,8.51883,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,756,Switzerland,1985,YEAR,RATE_PER_100000,9.65068,6.1872,13.67886,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,152,Chile,1985,YEAR,RATE_PER_100000,75.45713,58.95403,97.70475,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,156,China,1985,YEAR,RATE_PER_100000,114.46576,94.7452,151.40226,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,384,Côte d'Ivoire,1985,YEAR,RATE_PER_100000,667.01088,487.69669,896.41968,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,120,Cameroon,1985,YEAR,RATE_PER_100000,694.33152,484.57244,945.89602,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,180,Democratic Republic of the Congo,1985,YEAR,RATE_PER_100000,1171.48374,757.72236,1732.13989,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,178,Congo,1985,YEAR,RATE_PER_100000,630.62968,386.79709,892.43086,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,170,Colombia,1985,YEAR,RATE_PER_100000,129.95704,101.80314,163.83735,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,174,Comoros,1985,YEAR,RATE_PER_100000,656.21179,416.26109,1040.54082,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,132,Cabo Verde,1985,YEAR,RATE_PER_100000,399.82448,263.81019,647.06486,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,188,Costa Rica,1985,YEAR,RATE_PER_100000,49.58828,42.92566,59.60242,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,192,Cuba,1985,YEAR,RATE_PER_100000,69.14822,55.10921,89.72727,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,196,Cyprus,1985,YEAR,RATE_PER_100000,38.23394,20.63008,68.17393,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,203,Czechia,1985,YEAR,RATE_PER_100000,13.12616,9.93031,18.06195,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,276,Germany,1985,YEAR,RATE_PER_100000,10.30543,8.35812,14.68697,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,262,Djibouti,1985,YEAR,RATE_PER_100000,707.16729,407.06839,1263.21121,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,208,Denmark,1985,YEAR,RATE_PER_100000,11.47371,9.58047,13.63849,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,214,Dominican Republic,1985,YEAR,RATE_PER_100000,154.09631,89.40678,270.35428,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,12,Algeria,1985,YEAR,RATE_PER_100000,255.586,159.7267,388.75674,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,218,Ecuador,1985,YEAR,RATE_PER_100000,238.64175,200.83698,311.36564,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,818,Egypt,1985,YEAR,RATE_PER_100000,152.783,111.63278,211.29008,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,957,Eastern Mediterranean,1985,YEAR,RATE_PER_100000,414.44851,347.67278,497.28118,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,232,Eritrea,1985,YEAR,RATE_PER_100000,1557.64099,1135.37503,2114.93689,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,724,Spain,1985,YEAR,RATE_PER_100000,5.91181,4.97835,7.16764,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,233,Estonia,1985,YEAR,RATE_PER_100000,49.07971,36.83111,65.80104,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,231,Ethiopia,1985,YEAR,RATE_PER_100000,1297.30359,816.64825,2008.02463,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,956,Europe,1985,YEAR,RATE_PER_100000,56.19747,50.94374,63.41594,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,246,Finland,1985,YEAR,RATE_PER_100000,5.56532,4.01461,7.66214,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,242,Fiji,1985,YEAR,RATE_PER_100000,64.91034,47.15026,113.66295,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,250,France,1985,YEAR,RATE_PER_100000,18.31631,14.33152,23.96329,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,583,Micronesia (Federated States of),1985,YEAR,RATE_PER_100000,111.97994,65.63157,196.44555,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,266,Gabon,1985,YEAR,RATE_PER_100000,450.64006,288.60167,655.36337,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,826,United Kingdom of Great Britain and Northern Ireland,1985,YEAR,RATE_PER_100000,8.43145,7.6589,9.26091,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,268,Georgia,1985,YEAR,RATE_PER_100000,44.27892,34.69369,56.96057,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,288,Ghana,1985,YEAR,RATE_PER_100000,847.98473,573.90148,1249.61605,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,324,Guinea,1985,YEAR,RATE_PER_100000,1238.25513,858.74642,1657.88501,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,1,World,1985,YEAR,RATE_PER_100000,441.27849,403.31635,489.65762,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,270,Gambia,1985,YEAR,RATE_PER_100000,1202.17172,773.72576,1724.53715,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,624,Guinea-Bissau,1985,YEAR,RATE_PER_100000,1651.92471,1010.31879,2463.47371,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,226,Equatorial Guinea,1985,YEAR,RATE_PER_100000,1302.49263,809.03788,2018.86697,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,300,Greece,1985,YEAR,RATE_PER_100000,7.33156,5.51008,9.99883,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,308,Grenada,1985,YEAR,RATE_PER_100000,53.93787,36.92692,81.74724,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,320,Guatemala,1985,YEAR,RATE_PER_100000,267.5996,230.15923,307.55599,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,328,Guyana,1985,YEAR,RATE_PER_100000,275.14735,213.55839,372.10835,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,340,Honduras,1985,YEAR,RATE_PER_100000,223.55388,192.28558,274.44989,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,191,Croatia,1985,YEAR,RATE_PER_100000,12.88353,9.15492,16.72998,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,332,Haiti,1985,YEAR,RATE_PER_100000,710.37265,432.27268,1019.56484,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,348,Hungary,1985,YEAR,RATE_PER_100000,25.35651,19.5576,32.3189,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,360,Indonesia,1985,YEAR,RATE_PER_100000,495.3294,360.77896,642.93418,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,356,India,1985,YEAR,RATE_PER_100000,646.87979,514.35855,861.78609,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,372,Ireland,1985,YEAR,RATE_PER_100000,11.0584,8.31064,13.99586,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,364,Iran (Islamic Republic of),1985,YEAR,RATE_PER_100000,102.34549,73.17111,170.13338,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,368,Iraq,1985,YEAR,RATE_PER_100000,201.86143,141.43351,294.82362,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,352,Iceland,1985,YEAR,RATE_PER_100000,6.76306,4.7147,10.37167,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,376,Israel,1985,YEAR,RATE_PER_100000,40.25199,27.24681,60.72411,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,380,Italy,1985,YEAR,RATE_PER_100000,18.07821,14.24125,23.64326,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,388,Jamaica,1985,YEAR,RATE_PER_100000,45.12013,37.87974,53.39713,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,400,Jordan,1985,YEAR,RATE_PER_100000,96.32794,65.48547,133.37978,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,392,Japan,1985,YEAR,RATE_PER_100000,17.42398,14.23503,22.41373,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,398,Kazakhstan,1985,YEAR,RATE_PER_100000,99.81063,76.77063,133.87105,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,404,Kenya,1985,YEAR,RATE_PER_100000,580.11271,412.18971,786.10668,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,417,Kyrgyzstan,1985,YEAR,RATE_PER_100000,97.00816,80.79281,124.58818,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,116,Cambodia,1985,YEAR,RATE_PER_100000,687.8064,431.5966,998.67123,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,296,Kiribati,1985,YEAR,RATE_PER_100000,213.19192,138.48962,328.65467,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,410,Republic of Korea,1985,YEAR,RATE_PER_100000,39.28215,31.39637,44.71047,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,414,Kuwait,1985,YEAR,RATE_PER_100000,13.18376,9.29738,16.77951,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,418,Lao People's Democratic Republic,1985,YEAR,RATE_PER_100000,877.98896,593.39899,1206.36748,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,422,Lebanon,1985,YEAR,RATE_PER_100000,66.85287,45.79952,96.77115,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,430,Liberia,1985,YEAR,RATE_PER_100000,1365.37295,869.82942,1911.69332,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,434,Libya,1985,YEAR,RATE_PER_100000,57.53145,33.08213,98.38232,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,662,Saint Lucia,1985,YEAR,RATE_PER_100000,48.64415,31.26124,71.87788,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,144,Sri Lanka,1985,YEAR,RATE_PER_100000,69.80982,57.69369,88.62682,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,426,Lesotho,1985,YEAR,RATE_PER_100000,565.26852,362.71539,799.75892,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,440,Lithuania,1985,YEAR,RATE_PER_100000,31.11381,23.93368,41.39467,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,442,Luxembourg,1985,YEAR,RATE_PER_100000,12.56004,8.07419,18.33091,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,428,Latvia,1985,YEAR,RATE_PER_100000,50.36957,39.55184,69.06536,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,504,Morocco,1985,YEAR,RATE_PER_100000,673.74267,537.10285,915.57503,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,498,Republic of Moldova,1985,YEAR,RATE_PER_100000,75.19652,58.46159,96.47971,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,450,Madagascar,1985,YEAR,RATE_PER_100000,810.44119,600.28225,1073.32233,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,462,Maldives,1985,YEAR,RATE_PER_100000,364.57811,205.66276,560.95845,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,484,Mexico,1985,YEAR,RATE_PER_100000,97.23246,87.07312,115.74987,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,807,North Macedonia,1985,YEAR,RATE_PER_100000,17.92325,12.29982,28.9327,PUBLISHED
AC597B1,Maternal mortality ratio,MDG_0000000026,466,Mali,1985,YEAR,RATE_PER_100000,1341.18121,1021.83166,1739.26043,PUBLISHED
